Date_of_report	confirmed	probable	confirmedandprobable
2020/2/26	1	0	1
2020/3/2	1	0	1
2020/3/4	2	0	2
2020/3/5	0	2	2
2020/3/6	1	0	1
2020/3/12	1	0	1
2020/3/13	1	0	1
2020/3/14	1	0	1
2020/3/15	1	0	1
2020/3/16	7	0	7
2020/3/17	11	1	12
2020/3/18	5	0	5
2020/3/19	16	3	19
2020/3/20	11	0	11
2020/3/21	24	0	24
2020/3/22	40	5	45
2020/3/23	38	3	41
2020/3/24	54	4	58
2020/3/25	80	5	85
2020/3/26	68	10	78
2020/3/27	69	5	74
2020/3/28	63	6	69
2020/3/29	67	8	75
2020/3/30	42	11	53
2020/3/31	63	13	76
2020/4/1	61	15	76
2020/4/2	58	25	83
2020/4/3	51	23	74
2020/4/4	44	34	78
2020/4/5	39	30	69
2020/4/6	28	20	48
2020/4/7	21	18	39
